days_cash_on_hand,current_ratio,burn_rate_monthly_rm,purchase_amount,purchase_to_burn,is_digitalisation,is_agri,monthly_net_cash,recommended_product,label
87.4,1.511,13246.12,27935.86,2.109,1,0,7785.24,grant,0
69.1,1.992,13979.48,9337.46,0.668,0,1,21766.08,grant,0
63.4,1.42,11035.61,4220.45,0.382,0,0,-5000.0,cash,0
60.9,1.266,11400.49,7336.28,0.644,0,0,-5000.0,bnpl,0
111.6,1.487,10202.5,5521.41,0.541,0,0,2201.11,grant,0
77.8,1.228,11720.14,8687.57,0.741,1,0,6749.51,micro_credit,0
60.0,2.069,9837.2,6756.49,0.687,0,0,26805.81,cash,0
44.5,1.608,8000.0,5822.57,0.728,1,1,15543.5,grant,0
93.5,1.598,9395.24,10243.44,1.09,0,0,-5000.0,micro_credit,0
57.0,1.421,15925.95,14603.11,0.917,0,0,-5000.0,grant,0
83.1,1.442,8000.0,16922.88,2.115,0,0,30557.99,micro_credit,0
98.3,1.315,8611.51,14504.22,1.684,0,0,29559.81,bnpl,0
63.0,1.498,8000.0,6260.94,0.783,1,0,26625.46,cash,0
108.9,1.53,15546.48,14748.55,0.949,0,0,387.84,grant,0
84.0,1.981,9738.85,28582.62,2.935,0,1,-5000.0,grant,0
95.5,1.574,8651.14,12714.12,1.47,0,0,-5000.0,cash,0
69.5,1.65,19245.88,9090.19,0.472,0,0,-2552.88,micro_credit,0
62.5,1.806,11475.14,9032.93,0.787,0,0,21238.81,bnpl,0
77.4,1.821,8000.0,10094.9,1.262,0,0,4942.05,bnpl,0
38.4,1.633,11130.84,12122.43,1.089,0,0,7777.43,micro_credit,1
39.6,1.432,8482.65,7775.61,0.917,0,0,9096.86,bnpl,0
85.1,2.078,10706.0,13927.95,1.301,0,0,10659.97,bnpl,0
27.0,1.543,10169.05,46853.6,4.607,0,0,8537.5,micro_credit,1
82.5,1.54,8000.0,22664.44,2.833,0,0,25534.79,cash,0
94.8,1.295,18606.34,5591.38,0.301,1,0,22563.43,grant,0
129.8,1.273,8000.0,12769.42,1.596,0,0,2937.44,micro_credit,0
36.2,1.569,8000.0,15685.25,1.961,0,0,-4549.64,cash,1
113.7,1.331,8561.86,18909.78,2.209,0,0,-5000.0,bnpl,0
80.7,1.916,8000.0,13380.43,1.673,1,0,16677.89,cash,0
94.5,1.204,8000.0,16107.94,2.013,1,0,17345.72,grant,0
81.3,1.647,8000.0,13735.51,1.717,0,1,17275.3,cash,0
57.1,2.072,12249.31,6277.85,0.513,1,0,23817.96,grant,0
50.6,1.77,16670.03,7697.3,0.462,0,0,29340.77,micro_credit,0
85.3,1.78,23238.29,10562.2,0.455,1,0,-1567.25,bnpl,0
52.8,1.322,9559.63,14583.32,1.526,0,0,16980.43,grant,0
95.7,1.554,19036.06,10450.85,0.549,1,0,60963.04,grant,0
90.6,1.31,8000.0,15762.04,1.97,0,1,7977.67,bnpl,0
92.9,1.683,9578.03,7587.55,0.792,1,0,-5000.0,grant,0
63.8,1.79,10898.08,6092.68,0.559,0,0,15117.26,cash,0
84.6,1.303,10606.01,12481.65,1.177,1,0,-5000.0,bnpl,0
83.9,1.707,16112.86,21581.49,1.339,0,0,-5000.0,grant,0
51.6,1.694,12471.53,16046.98,1.287,0,0,80000.0,bnpl,0
89.3,1.868,15203.8,17296.6,1.138,0,1,6325.15,micro_credit,0
94.0,1.334,8896.66,9256.21,1.04,0,0,13473.73,cash,0
132.9,1.027,13478.04,4979.11,0.369,0,0,3505.23,grant,0
102.2,1.568,8000.0,8156.6,1.02,0,0,24232.76,bnpl,0
56.7,1.611,10102.19,8447.45,0.836,0,1,50590.99,grant,0
90.8,0.983,10763.37,8400.26,0.78,0,0,27343.8,grant,0
55.2,1.518,12422.25,19460.95,1.567,0,0,-5000.0,cash,0
66.6,1.417,8000.0,31920.38,3.99,0,1,19289.67,bnpl,0
43.5,1.807,25718.61,21329.7,0.829,1,1,-5000.0,cash,0
62.9,1.905,8000.0,15430.49,1.929,0,0,25943.41,grant,0
51.8,1.533,8000.0,6881.46,0.86,1,0,7453.77,grant,0
43.8,2.007,8000.0,9489.83,1.186,0,0,14353.33,micro_credit,1
111.0,1.148,16704.34,12156.61,0.728,0,0,-5000.0,micro_credit,0
86.6,1.606,8000.0,12561.49,1.57,1,0,5064.36,grant,0
77.8,1.735,20205.45,6119.29,0.303,0,0,50394.6,bnpl,0
26.2,1.508,12896.91,14108.68,1.094,0,0,791.41,grant,1
69.8,1.412,8000.0,19288.82,2.411,0,1,18426.28,cash,0
57.7,1.802,11364.9,18902.97,1.663,0,1,23333.32,bnpl,0
54.3,1.393,13853.35,16910.73,1.221,0,0,11623.77,grant,0
77.9,1.908,8000.0,16332.36,2.042,0,0,8360.53,cash,0
69.6,1.858,14349.03,18909.7,1.318,0,0,35498.62,cash,0
75.5,1.741,8607.42,14447.71,1.679,0,0,9657.43,bnpl,0
77.4,1.717,8000.0,38208.49,4.776,0,1,-5000.0,grant,0
44.6,1.874,14132.72,17039.1,1.206,1,1,23310.22,cash,1
74.7,1.299,10240.56,8329.52,0.813,0,0,29552.16,cash,0
71.3,1.319,8564.46,15170.56,1.771,0,0,1852.96,grant,0
54.4,1.618,11050.54,9147.0,0.828,0,0,3521.31,grant,0
80.8,1.145,8000.0,8142.53,1.018,0,0,8157.95,micro_credit,0
82.8,1.963,14558.74,11070.44,0.76,0,0,11657.71,bnpl,0
49.9,1.545,8691.52,14436.21,1.661,0,0,-2890.16,grant,0
88.0,1.979,9424.41,15077.24,1.6,1,1,24422.59,cash,0
65.0,1.613,9953.37,12755.55,1.282,1,0,-1914.18,bnpl,0
75.6,1.689,19015.59,20488.09,1.077,0,0,50757.28,grant,0
55.8,1.794,10748.31,40311.48,3.75,1,0,-2549.37,bnpl,0
54.0,1.382,8000.0,9052.85,1.132,1,0,-1664.39,micro_credit,0
78.8,1.646,23023.64,20388.64,0.886,1,1,1615.73,micro_credit,0
52.5,1.688,8000.0,33100.46,4.138,0,1,33229.92,bnpl,0
63.3,1.07,18201.2,11350.34,0.624,0,0,34280.69,bnpl,0
35.1,1.382,9920.51,12404.81,1.25,0,0,3898.82,bnpl,1
90.6,1.251,9282.9,12915.23,1.391,0,0,21259.9,bnpl,0
92.8,1.235,8000.0,24409.37,3.051,0,0,17981.65,micro_credit,1
