date,amount,category,description,is_expense
2025-07-02,1857.76,Payroll,Kopi Maju Enterprise — Payroll (Jul 2025),True
2025-07-03,3501.63,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jul 2025),False
2025-07-06,1905.78,Equipment,Kopi Maju Enterprise — Equipment (Jul 2025),True
2025-07-06,3591.38,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
2025-07-07,3074.68,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
2025-07-08,1714.79,Utilities,Kopi Maju Enterprise — Utilities (Jul 2025),True
2025-07-08,1694.12,Supplies,Kopi Maju Enterprise — Supplies (Jul 2025),True
2025-07-08,1502.69,Supplies,Kopi Maju Enterprise — Supplies (Jul 2025),True
2025-07-09,3287.88,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
2025-07-09,1473.14,Payroll,Kopi Maju Enterprise — Payroll (Jul 2025),True
2025-07-11,1614.83,Payroll,Kopi Maju Enterprise — Payroll (Jul 2025),True
2025-07-12,3735.6,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
2025-07-13,1471.15,Logistics,Kopi Maju Enterprise — Logistics (Jul 2025),True
2025-07-15,1593.75,Utilities,Kopi Maju Enterprise — Utilities (Jul 2025),True
2025-07-18,3076.32,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
2025-07-18,1791.41,Logistics,Kopi Maju Enterprise — Logistics (Jul 2025),True
2025-07-20,3079.83,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jul 2025),False
2025-07-21,3282.96,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
2025-07-21,3141.29,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
2025-07-21,1728.05,Logistics,Kopi Maju Enterprise — Logistics (Jul 2025),True
2025-07-22,3343.62,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
2025-07-22,1913.77,Marketing,Kopi Maju Enterprise — Marketing (Jul 2025),True
2025-07-22,4007.48,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
2025-07-23,3839.99,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jul 2025),False
2025-07-23,1830.32,Utilities,Kopi Maju Enterprise — Utilities (Jul 2025),True
2025-07-24,3261.65,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
2025-07-25,1841.52,Equipment,Kopi Maju Enterprise — Equipment (Jul 2025),True
2025-07-25,1735.49,Logistics,Kopi Maju Enterprise — Logistics (Jul 2025),True
2025-07-27,1702.07,Marketing,Kopi Maju Enterprise — Marketing (Jul 2025),True
2025-07-27,1778.75,Payroll,Kopi Maju Enterprise — Payroll (Jul 2025),True
2025-07-30,1850.61,Supplies,Kopi Maju Enterprise — Supplies (Jul 2025),True
2025-07-30,3775.69,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
2025-08-01,3727.07,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
2025-08-01,4114.81,Services - Digital,Kopi Maju Enterprise — Services - Digital (Aug 2025),False
2025-08-02,1794.9,Supplies,Kopi Maju Enterprise — Supplies (Aug 2025),True
2025-08-03,1909.05,Digital / Software,Kopi Maju Enterprise — Digital / Software (Aug 2025),True
2025-08-03,1899.66,Equipment,Kopi Maju Enterprise — Equipment (Aug 2025),True
2025-08-04,1582.7,Supplies,Kopi Maju Enterprise — Supplies (Aug 2025),True
2025-08-06,3404.68,Services - Digital,Kopi Maju Enterprise — Services - Digital (Aug 2025),False
2025-08-08,2001.19,Logistics,Kopi Maju Enterprise — Logistics (Aug 2025),True
2025-08-08,1634.94,Digital / Software,Kopi Maju Enterprise — Digital / Software (Aug 2025),True
2025-08-10,1749.76,Utilities,Kopi Maju Enterprise — Utilities (Aug 2025),True
2025-08-11,3401.54,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
2025-08-12,3145.97,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
2025-08-12,1862.35,Equipment,Kopi Maju Enterprise — Equipment (Aug 2025),True
2025-08-16,3381.5,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
2025-08-16,1657.25,Utilities,Kopi Maju Enterprise — Utilities (Aug 2025),True
2025-08-17,3830.34,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
2025-08-18,3342.37,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
2025-08-19,1562.4,Payroll,Kopi Maju Enterprise — Payroll (Aug 2025),True
2025-08-20,3614.5,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
2025-08-24,1681.99,Digital / Software,Kopi Maju Enterprise — Digital / Software (Aug 2025),True
2025-08-25,4072.9,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
2025-08-25,3457.07,Services - Digital,Kopi Maju Enterprise — Services - Digital (Aug 2025),False
2025-08-26,1817.52,Logistics,Kopi Maju Enterprise — Logistics (Aug 2025),True
2025-08-27,1705.62,Digital / Software,Kopi Maju Enterprise — Digital / Software (Aug 2025),True
2025-08-27,1585.51,Utilities,Kopi Maju Enterprise — Utilities (Aug 2025),True
2025-08-29,1817.79,Payroll,Kopi Maju Enterprise — Payroll (Aug 2025),True
2025-08-29,1862.25,Equipment,Kopi Maju Enterprise — Equipment (Aug 2025),True
2025-08-30,3545.09,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
2025-08-30,3456.21,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
2025-08-30,1586.48,Equipment,Kopi Maju Enterprise — Equipment (Aug 2025),True
2025-08-31,1970.64,Logistics,Kopi Maju Enterprise — Logistics (Aug 2025),True
2025-08-31,4145.95,Services - Digital,Kopi Maju Enterprise — Services - Digital (Aug 2025),False
2025-09-01,1860.97,Supplies,Kopi Maju Enterprise — Supplies (Sep 2025),True
2025-09-02,1914.51,Supplies,Kopi Maju Enterprise — Supplies (Sep 2025),True
2025-09-03,1807.2,Supplies,Kopi Maju Enterprise — Supplies (Sep 2025),True
2025-09-03,1587.63,Marketing,Kopi Maju Enterprise — Marketing (Sep 2025),True
2025-09-04,4182.84,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Sep 2025),False
2025-09-04,1678.92,Equipment,Kopi Maju Enterprise — Equipment (Sep 2025),True
2025-09-05,3784.56,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Sep 2025),False
2025-09-06,3919.56,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Sep 2025),False
2025-09-07,3845.17,Services - Digital,Kopi Maju Enterprise — Services - Digital (Sep 2025),False
2025-09-07,3931.77,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Sep 2025),False
2025-09-08,3442.02,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Sep 2025),False
2025-09-08,3655.08,Services - Digital,Kopi Maju Enterprise — Services - Digital (Sep 2025),False
2025-09-09,4141.11,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Sep 2025),False
2025-09-14,3538.95,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Sep 2025),False
2025-09-15,4306.72,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Sep 2025),False
2025-09-15,1893.81,Payroll,Kopi Maju Enterprise — Payroll (Sep 2025),True
2025-09-15,3526.58,Services - Digital,Kopi Maju Enterprise — Services - Digital (Sep 2025),False
2025-09-18,1621.15,Equipment,Kopi Maju Enterprise — Equipment (Sep 2025),True
2025-09-18,3600.85,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Sep 2025),False
2025-09-18,1587.55,Logistics,Kopi Maju Enterprise — Logistics (Sep 2025),True
2025-09-21,1665.93,Equipment,Kopi Maju Enterprise — Equipment (Sep 2025),True
2025-09-25,1990.23,Equipment,Kopi Maju Enterprise — Equipment (Sep 2025),True
2025-09-26,1673.97,Marketing,Kopi Maju Enterprise — Marketing (Sep 2025),True
2025-09-26,3373.24,Services - Digital,Kopi Maju Enterprise — Services - Digital (Sep 2025),False
2025-09-27,2060.21,Equipment,Kopi Maju Enterprise — Equipment (Sep 2025),True
2025-09-28,2043.76,Marketing,Kopi Maju Enterprise — Marketing (Sep 2025),True
2025-09-28,4176.75,Services - Digital,Kopi Maju Enterprise — Services - Digital (Sep 2025),False
2025-09-28,1652.9,Payroll,Kopi Maju Enterprise — Payroll (Sep 2025),True
2025-09-28,2018.73,Marketing,Kopi Maju Enterprise — Marketing (Sep 2025),True
2025-09-28,1674.61,Supplies,Kopi Maju Enterprise — Supplies (Sep 2025),True
2025-09-30,1977.72,Marketing,Kopi Maju Enterprise — Marketing (Sep 2025),True
2025-09-30,1669.2,Equipment,Kopi Maju Enterprise — Equipment (Sep 2025),True
2025-10-01,3656.19,Services - Digital,Kopi Maju Enterprise — Services - Digital (Oct 2025),False
2025-10-01,1924.79,Payroll,Kopi Maju Enterprise — Payroll (Oct 2025),True
2025-10-03,3570.74,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Oct 2025),False
2025-10-03,1611.37,Digital / Software,Kopi Maju Enterprise — Digital / Software (Oct 2025),True
2025-10-04,4449.51,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Oct 2025),False
2025-10-05,3714.4,Services - Digital,Kopi Maju Enterprise — Services - Digital (Oct 2025),False
2025-10-06,2115.11,Equipment,Kopi Maju Enterprise — Equipment (Oct 2025),True
2025-10-07,3839.66,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Oct 2025),False
2025-10-08,1859.83,Payroll,Kopi Maju Enterprise — Payroll (Oct 2025),True
2025-10-09,4309.78,Services - Digital,Kopi Maju Enterprise — Services - Digital (Oct 2025),False
2025-10-10,1667.27,Equipment,Kopi Maju Enterprise — Equipment (Oct 2025),True
2025-10-10,1710.62,Utilities,Kopi Maju Enterprise — Utilities (Oct 2025),True
2025-10-12,4244.72,Services - Digital,Kopi Maju Enterprise — Services - Digital (Oct 2025),False
2025-10-12,2054.87,Utilities,Kopi Maju Enterprise — Utilities (Oct 2025),True
2025-10-15,3858.71,Services - Digital,Kopi Maju Enterprise — Services - Digital (Oct 2025),False
2025-10-15,1624.16,Payroll,Kopi Maju Enterprise — Payroll (Oct 2025),True
2025-10-17,4478.18,Services - Digital,Kopi Maju Enterprise — Services - Digital (Oct 2025),False
2025-10-17,1910.93,Marketing,Kopi Maju Enterprise — Marketing (Oct 2025),True
2025-10-18,3377.22,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Oct 2025),False
2025-10-18,1911.22,Payroll,Kopi Maju Enterprise — Payroll (Oct 2025),True
2025-10-19,4404.49,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Oct 2025),False
2025-10-20,3947.97,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Oct 2025),False
2025-10-20,1646.34,Equipment,Kopi Maju Enterprise — Equipment (Oct 2025),True
2025-10-21,1716.76,Payroll,Kopi Maju Enterprise — Payroll (Oct 2025),True
2025-10-22,1813.21,Logistics,Kopi Maju Enterprise — Logistics (Oct 2025),True
2025-10-23,1955.91,Marketing,Kopi Maju Enterprise — Marketing (Oct 2025),True
2025-10-26,2075.81,Equipment,Kopi Maju Enterprise — Equipment (Oct 2025),True
2025-10-27,1683.09,Utilities,Kopi Maju Enterprise — Utilities (Oct 2025),True
2025-10-27,1904.88,Supplies,Kopi Maju Enterprise — Supplies (Oct 2025),True
2025-10-29,1905.17,Payroll,Kopi Maju Enterprise — Payroll (Oct 2025),True
2025-10-29,4307.69,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Oct 2025),False
2025-10-30,4204.33,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Oct 2025),False
2025-11-02,1698.46,Marketing,Kopi Maju Enterprise — Marketing (Nov 2025),True
2025-11-04,1677.29,Logistics,Kopi Maju Enterprise — Logistics (Nov 2025),True
2025-11-06,4280.18,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Nov 2025),False
2025-11-06,1865.2,Equipment,Kopi Maju Enterprise — Equipment (Nov 2025),True
2025-11-07,1858.34,Utilities,Kopi Maju Enterprise — Utilities (Nov 2025),True
2025-11-08,1928.24,Utilities,Kopi Maju Enterprise — Utilities (Nov 2025),True
2025-11-08,4657.05,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Nov 2025),False
2025-11-09,4218.03,Services - Digital,Kopi Maju Enterprise — Services - Digital (Nov 2025),False
2025-11-10,1636.3,Utilities,Kopi Maju Enterprise — Utilities (Nov 2025),True
2025-11-11,4688.9,Services - Digital,Kopi Maju Enterprise — Services - Digital (Nov 2025),False
2025-11-12,2167.24,Logistics,Kopi Maju Enterprise — Logistics (Nov 2025),True
2025-11-13,2151.78,Digital / Software,Kopi Maju Enterprise — Digital / Software (Nov 2025),True
2025-11-14,4517.45,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Nov 2025),False
2025-11-15,2144.97,Logistics,Kopi Maju Enterprise — Logistics (Nov 2025),True
2025-11-16,1823.85,Equipment,Kopi Maju Enterprise — Equipment (Nov 2025),True
2025-11-22,3935.47,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Nov 2025),False
2025-11-23,1933.01,Payroll,Kopi Maju Enterprise — Payroll (Nov 2025),True
2025-11-24,4756.66,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Nov 2025),False
